[G];[GC];true;false;false;const;Newtonian constant of gravitation;<i>G</i>;(unclassified);m3.kg-1.s-2;M3.KG-1.S-2;6.67259e-11;;
[g];[G];true;false;false;const;standard acceleration of free fall;<i>g<sub>n</sub></i>;acceleration;m/s2;M/S2;980665e-5;;
atm;ATM;false;false;false;const;standard atmosphere;atm;pressure;Pa;PAL;101325;;
[ly];[LY];true;false;false;const;light-year;l.y.;length;[c].a_j;[C].ANN_J;1;;
gf;GF;true;false;false;const;gram-force;gf;force;g.[g];G.[G];1;;
[lbf_av];[LBF_AV];false;false;false;const;pound force;lbf;force;[lb_av].[g];[LB_AV].[G];1;;
Ky;KY;true;false;false;cgs;Kayser;K;lineic number;cm-1;CM-1;1;;
Gal;GL;true;false;false;cgs;Gal;Gal;acceleration;cm/s2;CM/S2;1;;
dyn;DYN;true;false;false;cgs;dyne;dyn;force;g.cm/s2;G.CM/S2;1;;
erg;ERG;true;false;false;cgs;erg;erg;energy;dyn.cm;DYN.CM;1;;
P;P;true;false;false;cgs;Poise;P;dynamic viscosity;dyn.s/cm2;DYN.S/CM2;1;;
Bi;BI;true;false;false;cgs;Biot;Bi;electric current;A;A;10;;
St;ST;true;false;false;cgs;Stokes;St;kinematic viscosity;cm2/s;CM2/S;1;;
Mx;MX;true;false;false;cgs;Maxwell;Mx;flux of magnetic induction;Wb;WB;1e-8;;
G;GS;true;false;false;cgs;Gauss;Gs;magnetic flux density;T;T;1e-4;;
Oe;OE;true;false;false;cgs;Oersted;Oe;magnetic field intensity;/[pi].A/m;/[PI].A/M;250;;
Gb;GB;true;false;false;cgs;Gilbert;Gb;magnetic tension;Oe.cm;OE.CM;1;;
sb;SB;true;false;false;cgs;stilb;sb;lum. intensity density;cd/cm2;CD/CM2;1;;
Lmb;LMB;true;false;false;cgs;Lambert;L;brightness;cd/cm2/[pi];CD/CM2/[PI];1;;
ph;PHT;true;false;false;cgs;phot;ph;illuminance;lx;LX;1e-4;;
Ci;CI;true;false;false;cgs;Curie;Ci;radioactivity;Bq;BQ;37e9;;
R;ROE;true;false;false;cgs;Roentgen;R;ion dose;C/kg;C/KG;2.58e-4;;
RAD;[RAD];true;false;false;cgs;radiation absorbed dose;RAD;energy dose;erg/g;ERG/G;100;;
REM;[REM];true;false;false;cgs;radiation equivalent man;REM;dose equivalent;RAD;[RAD];1;;
[in_i];[IN_I];false;false;false;intcust;inch;in;length;cm;CM;254e-2;;
[ft_i];[FT_I];false;false;false;intcust;foot;ft;length;[in_i];[IN_I];12;;
[yd_i];[YD_I];false;false;false;intcust;yard;yd;length;[ft_i];[FT_I];3;;
[mi_i];[MI_I];false;false;false;intcust;mile;mi;length;[ft_i];[FT_I];5280;;
[fth_i];[FTH_I];false;false;false;intcust;fathom;fth;depth of water;[ft_i];[FT_I];6;;
[nmi_i];[NMI_I];false;false;false;intcust;nautical mile;n.mi;length;m;M;1852;;
[kn_i];[KN_I];false;false;false;intcust;knot;knot;velocity;[nmi_i]/h;[NMI_I]/H;1;;
[sin_i];[SIN_I];false;false;false;intcust;square inch;;area;[in_i]2;[IN_I]2;1;;
[sft_i];[SFT_I];false;false;false;intcust;square foot;;area;[ft_i]2;[FT_I]2;1;;
[syd_i];[SYD_I];false;false;false;intcust;square yard;;area;[yd_i]2;[YD_I]2;1;;
[cin_i];[CIN_I];false;false;false;intcust;cubic inch;;volume;[in_i]3;[IN_I]3;1;;
[cft_i];[CFT_I];false;false;false;intcust;cubic foot;;volume;[ft_i]3;[FT_I]3;1;;
